SG_UF,CO_MACRORREGIONAL,NO_MACRORREGIONAL,CO_CIR,NO_CIR_PADRAO,CO_MUNICIPIO_IBGE,NO_MUNICIPIO,POP2021,,obs
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120001,ACRELANDIA,15.721,,
AC,1.201,MACRO UNICA - AC,12.001,ALTO ACRE,120005,ASSIS BRASIL,7.649,,
AC,1.201,MACRO UNICA - AC,12.001,ALTO ACRE,120010,BRASILEIA,27.123,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120013,BUJARI,10.572,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120017,CAPIXABA,12.280,,
AC,1.201,MACRO UNICA - AC,12.003,JURUA E TARAUACA/ENVIRA,120020,CRUZEIRO DO SUL,89.760,,
AC,1.201,MACRO UNICA - AC,12.001,ALTO ACRE,120025,EPITACIOLANDIA,18.979,,
AC,1.201,MACRO UNICA - AC,12.003,JURUA E TARAUACA/ENVIRA,120030,FEIJO,34.986,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120032,JORDAO,8.628,,
AC,1.201,MACRO UNICA - AC,12.003,JURUA E TARAUACA/ENVIRA,120033,MANCIO LIMA,19.643,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120034,MANOEL URBANO,9.701,,
AC,1.201,MACRO UNICA - AC,12.003,JURUA E TARAUACA/ENVIRA,120035,MARECHAL THAUMATURGO,19.727,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120038,PLACIDO DE CASTRO,20.147,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120080,PORTO ACRE,19.141,,
AC,1.201,MACRO UNICA - AC,12.003,JURUA E TARAUACA/ENVIRA,120039,PORTO WALTER,12.497,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120040,RIO BRANCO,419.452,,
AC,1.201,MACRO UNICA - AC,12.003,JURUA E TARAUACA/ENVIRA,120042,RODRIGUES ALVES,19.767,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120043,SANTA ROSA DO PURUS,6.893,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120050,SENA MADUREIRA,47.168,,
AC,1.201,MACRO UNICA - AC,12.002,BAIXO ACRE E PURUS,120045,SENADOR GUIOMARD,23.446,,
AC,1.201,MACRO UNICA - AC,12.003,JURUA E TARAUACA/ENVIRA,120060,TARAUACA,43.730,,
AC,1.201,MACRO UNICA - AC,12.001,ALTO ACRE,120070,XAPURI,19.866,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.010,10ª REGIAO DE SAUDE,270010,AGUA BRANCA,20.263,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.005,5ª REGIAO DE SAUDE,270020,ANADIA,17.507,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270030,ARAPIRACA,234.309,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.004,4ª REGIAO DE SAUDE,270040,ATALAIA,47.540,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.001,1ª REGIAO DE SAUDE,270050,BARRA DE SANTO ANTONIO,16.201,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.001,1ª REGIAO DE SAUDE,270060,BARRA DE SAO MIGUEL,8.434,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270070,BATALHA,18.440,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.008,8ª REGIAO DE SAUDE,270080,BELEM,4.226,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270090,BELO MONTE,6.717,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.005,5ª REGIAO DE SAUDE,270100,BOCA DA MATA,27.429,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.003,3ª REGIAO DE SAUDE,270110,BRANQUINHA,10.426,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.008,8ª REGIAO DE SAUDE,270120,CACIMBINHAS,10.920,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.004,4ª REGIAO DE SAUDE,270130,CAJUEIRO,21.397,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.003,3ª REGIAO DE SAUDE,270135,CAMPESTRE,6.972,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.005,5ª REGIAO DE SAUDE,270140,CAMPO ALEGRE,57.997,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270150,CAMPO GRANDE,9.576,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.009,9ª REGIAO DE SAUDE,270160,CANAPI,17.715,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.004,4ª REGIAO DE SAUDE,270170,CAPELA,16.907,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.009,9ª REGIAO DE SAUDE,270180,CARNEIROS,9.568,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.004,4ª REGIAO DE SAUDE,270190,CHA PRETA,7.311,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270200,COITE DO NOIA,10.594,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.003,3ª REGIAO DE SAUDE,270210,COLONIA LEOPOLDINA,21.935,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.001,1ª REGIAO DE SAUDE,270220,COQUEIRO SECO,5.882,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.006,6ª REGIAO DE SAUDE,270230,CORURIPE,57.647,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270235,CRAIBAS,24.396,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.010,10ª REGIAO DE SAUDE,270240,DELMIRO GOUVEIA,52.501,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.009,9ª REGIAO DE SAUDE,270250,DOIS RIACHOS,11.059,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.008,8ª REGIAO DE SAUDE,270255,ESTRELA DE ALAGOAS,18.304,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270260,FEIRA GRANDE,22.192,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.006,6ª REGIAO DE SAUDE,270270,FELIZ DESERTO,4.803,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.001,1ª REGIAO DE SAUDE,270280,FLEXEIRAS,12.823,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270290,GIRAU DO PONCIANO,41.549,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.003,3ª REGIAO DE SAUDE,270300,IBATEGUARA,15.637,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.008,8ª REGIAO DE SAUDE,270310,IGACI,25.596,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.006,6ª REGIAO DE SAUDE,270320,IGREJA NOVA,24.670,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.010,10ª REGIAO DE SAUDE,270330,INHAPI,18.398,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270340,JACARE DOS HOMENS,5.185,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.002,2ª REGIAO DE SAUDE,270350,JACUIPE,6.992,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.002,2ª REGIAO DE SAUDE,270360,JAPARATINGA,8.444,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270370,JARAMATAIA,5.751,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.006,6ª REGIAO DE SAUDE,270375,JEQUIA DA PRAIA,11.495,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.003,3ª REGIAO DE SAUDE,270380,JOAQUIM GOMES,24.167,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.003,3ª REGIAO DE SAUDE,270390,JUNDIA,4.119,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.005,5ª REGIAO DE SAUDE,270400,JUNQUEIRO,24.716,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270410,LAGOA DA CANOA,17.692,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270420,LIMOEIRO DE ANADIA,28.904,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.001,1ª REGIAO DE SAUDE,270430,MACEIO,1.031.597,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270440,MAJOR ISIDORO,19.923,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.004,4ª REGIAO DE SAUDE,270490,MAR VERMELHO,3.474,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.002,2ª REGIAO DE SAUDE,270450,MARAGOGI,33.351,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.009,9ª REGIAO DE SAUDE,270460,MARAVILHA,8.850,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.001,1ª REGIAO DE SAUDE,270470,MARECHAL DEODORO,52.848,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.008,8ª REGIAO DE SAUDE,270480,MARIBONDO,13.123,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.010,10ª REGIAO DE SAUDE,270500,MATA GRANDE,25.200,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.002,2ª REGIAO DE SAUDE,270510,MATRIZ DE CAMARAGIBE,24.627,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.001,1ª REGIAO DE SAUDE,270520,MESSIAS,18.201,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.008,8ª REGIAO DE SAUDE,270530,MINADOR DO NEGRAO,5.315,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.009,9ª REGIAO DE SAUDE,270540,MONTEIROPOLIS,7.171,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.003,3ª REGIAO DE SAUDE,270550,MURICI,28.428,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.003,3ª REGIAO DE SAUDE,270560,NOVO LINO,12.837,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.009,9ª REGIAO DE SAUDE,270570,OLHO D'AGUA DAS FLORES,21.690,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.010,10ª REGIAO DE SAUDE,270580,OLHO D'AGUA DO CASADO,9.507,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270590,OLHO D'AGUA GRANDE,5.133,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.009,9ª REGIAO DE SAUDE,270600,OLIVENCA,11.681,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.009,9ª REGIAO DE SAUDE,270610,OURO BRANCO,11.573,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.009,9ª REGIAO DE SAUDE,270620,PALESTINA,5.061,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.008,8ª REGIAO DE SAUDE,270630,PALMEIRA DOS INDIOS,73.452,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.009,9ª REGIAO DE SAUDE,270640,PAO DE ACUCAR,24.307,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.010,10ª REGIAO DE SAUDE,270642,PARICONHA,10.546,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.001,1ª REGIAO DE SAUDE,270644,PARIPUEIRA,13.484,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.002,2ª REGIAO DE SAUDE,270650,PASSO DE CAMARAGIBE,15.270,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.004,4ª REGIAO DE SAUDE,270660,PAULO JACINTO,7.556,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.006,6ª REGIAO DE SAUDE,270670,PENEDO,64.005,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.006,6ª REGIAO DE SAUDE,270680,PIACABUCU,17.868,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.001,1ª REGIAO DE SAUDE,270690,PILAR,35.310,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.004,4ª REGIAO DE SAUDE,270700,PINDOBA,2.903,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.010,10ª REGIAO DE SAUDE,270710,PIRANHAS,25.324,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.009,9ª REGIAO DE SAUDE,270720,POCO DAS TRINCHEIRAS,14.447,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.002,2ª REGIAO DE SAUDE,270730,PORTO CALVO,27.331,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.002,2ª REGIAO DE SAUDE,270740,PORTO DE PEDRAS,7.618,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.006,6ª REGIAO DE SAUDE,270750,PORTO REAL DO COLEGIO,20.158,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.004,4ª REGIAO DE SAUDE,270760,QUEBRANGULO,11.202,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.001,1ª REGIAO DE SAUDE,270770,RIO LARGO,75.662,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.005,5ª REGIAO DE SAUDE,270780,ROTEIRO,6.634,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.001,1ª REGIAO DE SAUDE,270790,SANTA LUZIA DO NORTE,7.344,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.009,9ª REGIAO DE SAUDE,270800,SANTANA DO IPANEMA,47.910,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.003,3ª REGIAO DE SAUDE,270810,SANTANA DO MUNDAU,10.637,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.006,6ª REGIAO DE SAUDE,270820,SAO BRAS,6.977,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.003,3ª REGIAO DE SAUDE,270830,SAO JOSE DA LAJE,24.064,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.009,9ª REGIAO DE SAUDE,270840,SAO JOSE DA TAPERA,32.462,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.002,2ª REGIAO DE SAUDE,270850,SAO LUIS DO QUITUNDE,34.825,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.005,5ª REGIAO DE SAUDE,270860,SAO MIGUEL DOS CAMPOS,62.328,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.002,2ª REGIAO DE SAUDE,270870,SAO MIGUEL DOS MILAGRES,8.073,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270880,SAO SEBASTIAO,34.424,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.001,1ª REGIAO DE SAUDE,270890,SATUBA,14.042,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.009,9ª REGIAO DE SAUDE,270895,SENADOR RUI PALMEIRA,13.893,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.008,8ª REGIAO DE SAUDE,270900,TANQUE D'ARCA,6.115,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270910,TAQUARANA,20.162,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.005,5ª REGIAO DE SAUDE,270915,TEOTONIO VILELA,44.570,,
AL,2.703,2ª MACRORREGIAO DE SAUDE,27.007,7ª REGIAO DE SAUDE,270920,TRAIPU,27.934,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.003,3ª REGIAO DE SAUDE,270930,UNIAO DOS PALMARES,65.963,,
AL,2.704,1ª MACRORREGIAO DE SAUDE,27.004,4ª REGIAO DE SAUDE,270940,VICOSA,25.655,,
AM,1.302,OESTE,13.008,TRIANGULO,130002,ALVARAES,16.396,,
AM,1.302,OESTE,13.009,ALTO SOLIMOES,130006,AMATURA,11.934,,
AM,1.304,CENTRAL,13.002,RIO NEGRO E SOLIMOES,130008,ANAMA,14.292,,
AM,1.304,CENTRAL,13.002,RIO NEGRO E SOLIMOES,130010,ANORI,21.937,,
AM,1.303,LESTE,13.003,RIO MADEIRA,130014,APUI,22.739,,
AM,1.302,OESTE,13.009,ALTO SOLIMOES,130020,ATALAIA DO NORTE,20.868,,
AM,1.304,CENTRAL,13.001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130030,AUTAZES,41.005,,
AM,1.304,CENTRAL,13.001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130040,BARCELOS,27.772,,
AM,1.303,LESTE,13.005,BAIXO AMAZONAS,130050,BARREIRINHA,32.919,,
AM,1.302,OESTE,13.009,ALTO SOLIMOES,130060,BENJAMIN CONSTANT,44.873,,
AM,1.304,CENTRAL,13.002,RIO NEGRO E SOLIMOES,130063,BERURI,20.503,,
AM,1.303,LESTE,13.005,BAIXO AMAZONAS,130068,BOA VISTA DO RAMOS,20.040,,
AM,1.304,CENTRAL,13.006,REGIONAL PURUS,130070,BOCA DO ACRE,34.958,,
AM,1.303,LESTE,13.003,RIO MADEIRA,130080,BORBA,42.328,,
AM,1.304,CENTRAL,13.002,RIO NEGRO E SOLIMOES,130083,CAAPIRANGA,13.482,,
AM,1.304,CENTRAL,13.006,REGIONAL PURUS,130090,CANUTAMA,15.981,,
AM,1.302,OESTE,13.007,REGIONAL JURUA,130100,CARAUARI,28.719,,
AM,1.304,CENTRAL,13.001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130110,CAREIRO,38.820,,
AM,1.304,CENTRAL,13.001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130115,CAREIRO DA VARZEA,31.459,,
AM,1.304,CENTRAL,13.002,RIO NEGRO E SOLIMOES,130120,COARI,86.713,,
AM,1.304,CENTRAL,13.002,RIO NEGRO E SOLIMOES,130130,CODAJAS,29.691,,
AM,1.302,OESTE,13.007,REGIONAL JURUA,130140,EIRUNEPE,36.121,,
AM,1.302,OESTE,13.007,REGIONAL JURUA,130150,ENVIRA,20.748,,
AM,1.302,OESTE,13.009,ALTO SOLIMOES,130160,FONTE BOA,16.409,,
AM,1.302,OESTE,13.007,REGIONAL JURUA,130165,GUAJARA,17.193,,
AM,1.303,LESTE,13.003,RIO MADEIRA,130170,HUMAITA,57.195,,
AM,1.302,OESTE,13.007,REGIONAL JURUA,130180,IPIXUNA,31.172,,
AM,1.304,CENTRAL,13.001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130185,IRANDUBA,49.718,,
AM,1.303,LESTE,13.004,MEDIO AMAZONAS,130190,ITACOATIARA,104.046,,
AM,1.302,OESTE,13.007,REGIONAL JURUA,130195,ITAMARATI,7.777,,
AM,1.303,LESTE,13.004,MEDIO AMAZONAS,130200,ITAPIRANGA,9.312,,
AM,1.302,OESTE,13.008,TRIANGULO,130210,JAPURA,1.755,,
AM,1.302,OESTE,13.008,TRIANGULO,130220,JURUA,15.495,,
AM,1.302,OESTE,13.009,ALTO SOLIMOES,130230,JUTAI,13.462,,
AM,1.304,CENTRAL,13.006,REGIONAL PURUS,130240,LABREA,47.685,,
AM,1.304,CENTRAL,13.002,RIO NEGRO E SOLIMOES,130250,MANACAPURU,99.613,,
AM,1.304,CENTRAL,13.001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130255,MANAQUIRI,33.981,,
AM,1.304,CENTRAL,13.001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130260,MANAUS,2.255.903,,
AM,1.303,LESTE,13.003,RIO MADEIRA,130270,MANICORE,57.405,,
AM,1.302,OESTE,13.008,TRIANGULO,130280,MARAA,18.298,,
AM,1.303,LESTE,13.005,BAIXO AMAZONAS,130290,MAUES,66.159,,
AM,1.303,LESTE,13.005,BAIXO AMAZONAS,130300,NHAMUNDA,21.710,,
AM,1.304,CENTRAL,13.001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130310,NOVA OLINDA DO NORTE,38.665,,
AM,1.304,CENTRAL,13.002,RIO NEGRO E SOLIMOES,130320,NOVO AIRAO,20.395,,
AM,1.303,LESTE,13.003,RIO MADEIRA,130330,NOVO ARIPUANA,26.443,,
AM,1.303,LESTE,13.005,BAIXO AMAZONAS,130340,PARINTINS,116.439,,
AM,1.304,CENTRAL,13.006,REGIONAL PURUS,130350,PAUINI,19.616,,
AM,1.304,CENTRAL,13.001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130353,PRESIDENTE FIGUEIREDO,38.095,,
AM,1.304,CENTRAL,13.001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130356,RIO PRETO DA EVA,34.856,,
AM,1.304,CENTRAL,13.001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130360,SANTA ISABEL DO RIO NEGRO,26.566,,
AM,1.302,OESTE,13.009,ALTO SOLIMOES,130370,SANTO ANTONIO DO ICA,20.889,,
AM,1.304,CENTRAL,13.001,"MANAUS, ENTORNO E ALTO RIO NEGRO",130380,SAO GABRIEL DA CACHOEIRA,47.031,,
AM,1.302,OESTE,13.009,ALTO SOLIMOES,130390,SAO PAULO DE OLIVENCA,40.837,,
AM,1.303,LESTE,13.004,MEDIO AMAZONAS,130395,SAO SEBASTIAO DO UATUMA,14.678,,
AM,1.303,LESTE,13.004,MEDIO AMAZONAS,130400,SILVES,9.289,,
AM,1.302,OESTE,13.009,ALTO SOLIMOES,130406,TABATINGA,68.502,,
AM,1.304,CENTRAL,13.006,REGIONAL PURUS,130410,TAPAUA,16.876,,
AM,1.302,OESTE,13.008,TRIANGULO,130420,TEFE,59.250,,
AM,1.302,OESTE,13.009,ALTO SOLIMOES,130423,TONANTINS,19.038,,
AM,1.302,OESTE,13.008,TRIANGULO,130426,UARINI,13.839,,
AM,1.303,LESTE,13.004,MEDIO AMAZONAS,130430,URUCARA,16.007,,
AM,1.303,LESTE,13.004,MEDIO AMAZONAS,130440,URUCURITUBA,24.098,,
AP,1.601,MACRO UNICA - AP,16.002,AREA NORTE,160010,AMAPA,9.265,,
AP,1.601,MACRO UNICA - AP,16.002,AREA NORTE,160020,CALCOENE,11.493,,
AP,1.601,MACRO UNICA - AP,16.001,AREA CENTRAL,160021,CUTIAS,6.217,,
AP,1.601,MACRO UNICA - AP,16.001,AREA CENTRAL,160023,FERREIRA GOMES,8.151,,
AP,1.601,MACRO UNICA - AP,16.001,AREA CENTRAL,160025,ITAUBAL,5.730,,
AP,1.601,MACRO UNICA - AP,16.003,AREA SUDOESTE,160027,LARANJAL DO JARI,52.302,,
AP,1.601,MACRO UNICA - AP,16.001,AREA CENTRAL,160030,MACAPA,522.357,,
AP,1.601,MACRO UNICA - AP,16.003,AREA SUDOESTE,160040,MAZAGAO,22.468,,
AP,1.601,MACRO UNICA - AP,16.002,AREA NORTE,160050,OIAPOQUE,28.534,,
AP,1.601,MACRO UNICA - AP,16.001,AREA CENTRAL,160015,PEDRA BRANCA DO AMAPARI,17.625,,
AP,1.601,MACRO UNICA - AP,16.001,AREA CENTRAL,160053,PORTO GRANDE,22.927,,
AP,1.601,MACRO UNICA - AP,16.002,AREA NORTE,160055,PRACUUBA,5.370,,
AP,1.601,MACRO UNICA - AP,16.003,AREA SUDOESTE,160060,SANTANA,124.808,,
AP,1.601,MACRO UNICA - AP,16.001,AREA CENTRAL,160005,SERRA DO NAVIO,5.577,,
AP,1.601,MACRO UNICA - AP,16.002,AREA NORTE,160070,TARTARUGALZINHO,18.217,,
AP,1.601,MACRO UNICA - AP,16.003,AREA SUDOESTE,160080,VITORIA DO JARI,16.572,,
BA,2.917,CENTRO-LESTE (NRS - FEIRA SANTANA),29.023,SEABRA,290010,ABAIRA,8.681,,
BA,2.913,NORTE - (NRS - JUAZEIRO),29.017,PAULO AFONSO,290020,ABARE,20.594,,
BA,2.914,NORDESTE (NRS - ALAGOINHAS),29.001,ALAGOINHAS,290030,ACAJUTIBA,15.214,,
BA,2.914,NORDESTE (NRS - ALAGOINHAS),29.019,RIBEIRA DO POMBAL,290035,ADUSTINA,17.209,,
BA,2.917,CENTRO-LESTE (NRS - FEIRA SANTANA),29.025,SERRINHA,290040,AGUA FRIA,17.096,,
BA,2.910,SUL (NBS - ILHEUS),29.015,JEQUIE,290060,AIQUARA,4.387,,
BA,2.914,NORDESTE (NRS - ALAGOINHAS),29.001,ALAGOINHAS,290070,ALAGOINHAS,153.023,,
BA,2.916,EXTREMO SUL (NRS - TEIXEIRA FREITAS),29.026,TEIXEIRA DE FREITAS,290080,ALCOBACA,22.509,,
BA,2.910,SUL (NBS - ILHEUS),29.012,ITABUNA,290090,ALMADINA,5.273,,
BA,2.915,LESTE - (NRS - SALVADOR),29.022,SANTO ANTONIO DE JESUS,290100,AMARGOSA,37.631,,
BA,2.917,CENTRO-LESTE (NRS - FEIRA SANTANA),29.006,FEIRA DE SANTANA,290110,AMELIA RODRIGUES,24.997,,
BA,2.918,CENTRO - NORTE (NRS - JACOBINA),29.010,IRECE,290115,AMERICA DOURADA,16.086,,
BA,2.911,SUDOESTE (NBS - VITORIA CONQUISTA),29.028,VITORIA DA CONQUISTA,290120,ANAGE,21.229,,
BA,2.917,CENTRO-LESTE (NRS - FEIRA SANTANA),29.011,ITABERABA,290130,ANDARAI,13.122,,
BA,2.913,NORTE - (NRS - JUAZEIRO),29.024,SENHOR DO BONFIM,290135,ANDORINHA,14.416,,
BA,2.912,OESTE (NBS - BARREIRAS),29.002,BARREIRAS,290140,ANGICAL,13.902,,
BA,2.917,CENTRO-LESTE (NRS - FEIRA SANTANA),29.006,FEIRA DE SANTANA,290150,ANGUERA,11.369,,
BA,2.914,NORDESTE (NRS - ALAGOINHAS),29.019,RIBEIRA DO POMBAL,290160,ANTAS,19.659,,
BA,2.917,CENTRO-LESTE (NRS - FEIRA SANTANA),29.006,FEIRA DE SANTANA,290170,ANTONIO CARDOSO,11.670,,
BA,2.913,NORTE - (NRS - JUAZEIRO),29.024,SENHOR DO BONFIM,290180,ANTONIO GONCALVES,11.955,,
BA,2.914,NORDESTE (NRS - ALAGOINHAS),29.001,ALAGOINHAS,290190,APORA,17.840,,
BA,2.910,SUL (NBS - ILHEUS),29.015,JEQUIE,290195,APUAREMA,7.274,,
BA,2.914,NORDESTE (NRS - ALAGOINHAS),29.001,ALAGOINHAS,290205,ARACAS,12.237,,
BA,2.911,SUDOESTE (NBS - VITORIA CONQUISTA),29.003,BRUMADO,290200,ARACATU,12.960,,
BA,2.917,CENTRO-LESTE (NRS - FEIRA SANTANA),29.025,SERRINHA,290210,ARACI,54.903,,
BA,2.914,NORDESTE (NRS - ALAGOINHAS),29.001,ALAGOINHAS,290220,ARAMARI,11.519,,
BA,2.910,SUL (NBS - ILHEUS),29.009,ILHEUS,290225,ARATACA,10.904,,
BA,2.915,LESTE - (NRS - SALVADOR),29.022,SANTO ANTONIO DE JESUS,290230,ARATUIPE,8.848,,
BA,2.910,SUL (NBS - ILHEUS),29.012,ITABUNA,290240,AURELINO LEAL,11.079,,
BA,2.912,OESTE (NBS - BARREIRAS),29.002,BARREIRAS,290250,BAIANOPOLIS,13.979,,
BA,2.917,CENTRO-LESTE (NRS - FEIRA SANTANA),29.006,FEIRA DE SANTANA,290260,BAIXA GRANDE,20.431,,
BA,2.914,NORDESTE (NRS - ALAGOINHAS),29.019,RIBEIRA DO POMBAL,290265,BANZAE,13.251,,
