SG_UF,CO_MACRORREGIONAL,NO_MACRORREGIONAL,CO_CIR,NO_CIR_PADRAO,CO_MUNICIPIO_IBGE,NO_MUNICIPIO,POP2021,,obs
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.013,13ª REGIAO,251392,SAO BENTINHO,4.602,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.008,8ª REGIAO,251390,SAO BENTO,34.650,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.013,13ª REGIAO,251396,SAO DOMINGOS,3.119,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.015,15ª REGIAO,251394,SAO DOMINGOS DO CARIRI,2.645,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.010,10ª REGIAO,251398,SAO FRANCISCO,3.377,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.005,5ª REGIAO,251400,SAO JOAO DO CARIRI,4.170,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.009,9ª REGIAO,250070,SAO JOAO DO RIO DO PEIXE,18.020,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.005,5ª REGIAO,251410,SAO JOAO DO TIGRE,4.408,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.010,10ª REGIAO,251420,SAO JOSE DA LAGOA TAPADA,7.622,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.007,7ª REGIAO,251430,SAO JOSE DE CAIANA,6.394,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.006,6ª REGIAO,251440,SAO JOSE DE ESPINHARAS,4.631,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.009,9ª REGIAO,251450,SAO JOSE DE PIRANHAS,20.406,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.011,11ª REGIAO,251455,SAO JOSE DE PRINCESA,3.898,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.006,6ª REGIAO,251460,SAO JOSE DO BONFIM,3.619,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.008,8ª REGIAO,251465,SAO JOSE DO BREJO DO CRUZ,1.821,,
PB,2.501,MACRORREGIAO III - SERTAO/ALTO SERTAO,25.006,6ª REGIAO,251470,SAO JOSE DO SABUGI,4.153,,
PB,2.502,MACRORREGIAO II - CAMPINA GRANDE,25.005,5ª REGIAO,251480,SAO JOSE DOS CORDEIROS,3.607,,
